NAME : R101
COMMENT : Synthetic
TYPE : CVRP
VEHICLE
NUMBER	CAPACITY
999	200

CUSTOMER
CUST NO.	XCOORD.	YCOORD.	DEMAND	READY TIME	DUE DATE	SERVICE TIME
0	50.0	50.0	0	0	1000	10
1	94.5	41.5	24	0	1000	10
2	57.5	27.5	12	0	1000	10
3	47.6	44.8	17	0	1000	10
4	55.9	36.2	17	0	1000	10
5	76.6	32.8	11	0	1000	10
6	65.7	76.2	19	0	1000	10
7	28.3	39.3	12	0	1000	10
8	16.4	52.1	24	0	1000	10
9	26.4	11.9	18	0	1000	10
10	52.2	44.3	12	0	1000	10
11	82.7	90.9	22	0	1000	10
12	29.1	93.1	22	0	1000	10
13	61.1	14.8	19	0	1000	10
14	43.8	23.7	21	0	1000	10
15	58.9	67.3	15	0	1000	10
16	66.1	36.1	24	0	1000	10
17	40.2	41.1	6	0	1000	10
18	72.7	70.8	18	0	1000	10
19	67.3	12.1	14	0	1000	10
20	13.4	56.6	9	0	1000	10
21	57.7	83.8	16	0	1000	10
22	45.4	23.9	6	0	1000	10
23	15.0	16.9	23	0	1000	10
24	27.3	64.3	22	0	1000	10
25	73.6	41.5	19	0	1000	10
26	77.2	49.4	8	0	1000	10
27	26.2	92.6	10	0	1000	10
28	14.7	28.8	16	0	1000	10
29	54.7	14.8	22	0	1000	10
30	64.7	79.7	14	0	1000	10
31	35.7	66.8	21	0	1000	10
32	93.8	87.8	12	0	1000	10
33	92.7	80.6	14	0	1000	10
34	63.3	42.9	18	0	1000	10
35	17.1	72.1	9	0	1000	10
36	23.3	29.6	19	0	1000	10
37	81.8	52.2	22	0	1000	10
38	87.9	53.9	18	0	1000	10
39	67.1	73.6	12	0	1000	10
40	92.9	5.3	7	0	1000	10
41	21.8	27.0	14	0	1000	10
42	65.3	64.6	17	0	1000	10
43	71.8	43.3	20	0	1000	10
44	49.2	44.4	13	0	1000	10
45	38.9	94.1	9	0	1000	10
46	89.8	35.1	18	0	1000	10
47	69.3	28.8	18	0	1000	10
48	73.2	19.9	22	0	1000	10
49	56.8	78.8	10	0	1000	10
50	88.6	60.5	8	0	1000	10
51	84.0	7.5	6	0	1000	10
52	91.5	23.5	16	0	1000	10
53	89.4	94.3	13	0	1000	10
54	51.0	53.4	19	0	1000	10
55	50.1	38.2	11	0	1000	10
56	45.7	26.6	24	0	1000	10
57	44.4	82.2	23	0	1000	10
58	94.6	5.2	22	0	1000	10
59	57.9	17.4	23	0	1000	10
60	79.3	76.9	10	0	1000	10
61	57.5	35.7	19	0	1000	10
62	76.0	47.7	12	0	1000	10
63	50.1	67.8	15	0	1000	10
64	9.2	62.7	10	0	1000	10
65	36.0	35.1	12	0	1000	10
66	71.2	17.5	24	0	1000	10
67	92.2	13.1	7	0	1000	10
68	53.0	53.3	18	0	1000	10
69	66.2	58.5	22	0	1000	10
70	54.5	49.3	19	0	1000	10
71	37.9	61.6	23	0	1000	10
72	20.9	87.3	9	0	1000	10
73	58.2	62.9	13	0	1000	10
74	15.0	52.8	15	0	1000	10
75	67.5	36.5	17	0	1000	10
76	62.2	54.6	9	0	1000	10
77	86.9	46.2	22	0	1000	10
78	81.2	12.6	20	0	1000	10
79	27.7	42.6	14	0	1000	10
80	48.6	58.6	11	0	1000	10
81	19.0	39.1	17	0	1000	10
82	61.0	80.9	20	0	1000	10
83	22.7	45.0	10	0	1000	10
84	40.3	45.0	11	0	1000	10
85	67.1	86.2	5	0	1000	10
86	83.4	85.7	18	0	1000	10
87	87.0	87.1	9	0	1000	10
88	62.5	37.8	20	0	1000	10
89	53.9	86.1	11	0	1000	10
90	11.4	95.0	9	0	1000	10
91	46.0	49.9	14	0	1000	10
92	41.8	72.7	8	0	1000	10
93	83.4	13.1	15	0	1000	10
94	93.0	91.5	11	0	1000	10
95	94.2	32.0	6	0	1000	10
96	21.8	29.6	14	0	1000	10
97	5.4	45.1	18	0	1000	10
98	75.2	49.2	8	0	1000	10
99	17.8	17.4	24	0	1000	10
100	67.9	72.7	8	0	1000	10
